P1,P2,P3,P4,P5,P6,K1,P7,P8,P9,P10,P11,P12,K2,Output,COM turn?,Points after move,Points gained,Link
0,0,3,1,0,3,18,3,3,0,2,2,0,13,4,TRUE,22,4,
3,0,0,2,2,0,13,0,0,3,0,0,3,22,5,FALSE,14,1,
3,0,0,2,0,1,14,0,0,3,0,0,3,22,6,FALSE,15,1,
3,0,0,2,0,0,15,0,0,3,0,0,3,22,4,FALSE,15,0,
0,0,3,0,0,3,22,3,0,0,0,1,1,15,6,TRUE,23,1,
4,1,0,0,1,1,15,0,0,3,0,0,0,23,6,FALSE,16,1,
4,1,0,0,1,0,16,0,0,3,0,0,0,23,5,FALSE,16,0,
0,0,3,0,0,0,23,4,1,0,0,0,1,16,3,TRUE,28,5,
0,1,0,0,0,1,16,0,0,0,1,1,0,28,6,FALSE,17,1,
0,1,0,0,0,0,17,0,0,0,1,1,0,28,2,FALSE,19,2,
,,,,,,19,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,FALSE,,,
4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,FALSE,1,1,
4,4,0,5,5,5,1,4,4,4,4,4,4,0,5,FALSE,2,1,
5,5,5,4,4,4,0,4,4,0,5,0,6,2,3,TRUE,1,1,
5,4,0,5,0,6,2,5,5,0,5,5,5,1,6,FALSE,3,1,
6,6,1,6,6,5,1,5,4,0,5,0,0,3,1,TRUE,2,1,
0,7,2,7,7,6,2,5,4,0,5,0,0,3,3,TRUE,2,0,
5,4,0,5,0,0,3,0,7,0,8,8,6,2,4,FALSE,4,1,
1,8,0,8,8,6,2,5,4,0,0,1,1,4,1,TRUE,2,0,
5,4,0,0,1,1,4,0,9,0,8,8,6,2,6,FALSE,5,1,
5,4,0,0,1,0,5,0,9,0,8,8,6,2,5,FALSE,5,0,
0,9,0,8,8,6,2,5,4,0,0,0,1,5,2,TRUE,3,1,
6,5,1,1,0,1,5,0,0,1,9,9,7,3,6,FALSE,6,1,
6,5,1,1,0,0,6,0,0,1,9,9,7,3,2,FALSE,7,1,
6,0,2,2,1,1,7,0,0,1,9,9,7,3,6,FALSE,8,1,
6,0,2,2,1,0,8,0,0,1,9,9,7,3,1,FALSE,9,1,
0,1,3,3,2,1,9,0,0,1,9,9,7,3,6,FALSE,10,1,
0,1,3,3,2,0,10,0,0,1,9,9,7,3,5,FALSE,11,1,
0,1,3,3,0,1,11,0,0,1,9,9,7,3,6,FALSE,12,1,
0,1,3,3,0,0,12,0,0,1,9,9,7,3,4,FALSE,13,1,
0,1,3,0,1,1,13,0,0,1,9,9,7,3,6,FALSE,14,1,
0,1,3,0,1,0,14,0,0,1,9,9,7,3,3,FALSE,14,0,
0,0,1,9,9,7,3,0,1,0,1,2,1,14,5,TRUE,7,4,
1,2,1,2,3,0,14,0,0,1,9,0,8,7,2,FALSE,14,0,
0,0,1,9,0,8,7,1,0,2,3,3,0,14,6,TRUE,10,3,
2,1,3,4,4,0,14,0,0,1,9,0,0,10,3,FALSE,14,0,
0,0,1,9,0,0,10,2,1,0,5,5,1,14,4,TRUE,11,1,
3,2,1,6,6,2,14,0,0,1,0,1,1,11,4,FALSE,15,1,
1,1,2,0,1,1,11,3,2,1,0,7,3,15,6,TRUE,12,1,
1,1,2,0,1,0,12,3,2,1,0,7,3,15,5,TRUE,16,4,
0,2,1,0,7,3,15,1,1,2,0,0,0,16,3,FALSE,18,3,
1,1,0,0,0,0,16,0,2,0,0,7,3,18,6,TRUE,16,0,
0,2,0,0,7,3,18,1,1,0,0,0,0,16,5,FALSE,19,1,
2,2,1,1,1,0,16,0,2,0,0,0,4,19,3,TRUE,16,0,
0,2,0,0,0,4,19,2,2,0,2,1,0,16,6,FALSE,20,1,
3,3,1,2,1,0,16,0,2,0,0,0,0,20,3,TRUE,16,0,
0,2,0,0,0,0,20,3,3,0,3,1,0,16,2,FALSE,20,0,
3,3,0,3,1,0,16,0,0,1,1,0,0,20,4,TRUE,17,1,
3,3,0,0,2,1,17,0,0,1,1,0,0,20,6,TRUE,18,1,
