P1,P2,P3,P4,P5,P6,K1,P7,P8,P9,P10,P11,P12,K2,Output,COM turn?,Points after move,Points gained
2,1,1,1,2,0,16,5,4,0,2,1,4,9,5,TRUE,17,1
2,1,1,1,0,1,17,5,4,0,2,1,4,9,6,TRUE,18,1
2,1,1,1,0,0,18,5,4,0,2,1,4,9,4,TRUE,23,5
3,2,2,0,0,0,23,5,0,0,2,1,0,10,1,TRUE,23,0
0,3,3,1,0,0,23,0,1,1,3,2,1,10,3,TRUE,23,0
0,3,0,2,1,1,23,0,1,1,0,0,1,15,6,TRUE,24,1
0,3,0,2,1,0,24,0,1,1,0,0,1,15,4,TRUE,24,0
0,3,0,0,2,1,24,0,1,0,1,0,0,16,6,TRUE,25,1
0,3,0,0,2,0,25,0,1,0,1,0,0,16,5,TRUE,26,1
0,3,0,0,0,1,26,0,1,0,1,0,0,16,6,TRUE,27,1
0,3,0,0,0,0,27,0,1,0,1,0,0,16,2,TRUE,29,2
0,0,1,1,0,0,29,0,0,0,0,1,0,16,3,TRUE,29,0
0,0,0,2,0,0,29,0,0,0,0,0,1,16,4,TRUE,29,0
5,5,5,5,4,4,0,4,4,0,5,5,0,2,2,TRUE,1,1
5,0,6,6,5,5,1,4,4,0,5,5,0,2,1,TRUE,1,0
1,2,8,7,6,6,1,4,4,0,5,0,1,3,2,TRUE,1,0
2,1,9,8,6,6,1,4,4,0,0,1,1,5,1,TRUE,1,0
0,2,10,8,6,6,1,4,4,0,0,0,1,6,2,TRUE,1,0
0,0,11,9,6,6,1,4,0,1,1,1,1,7,3,TRUE,5,4
0,0,0,10,7,7,5,5,1,2,0,1,1,9,6,TRUE,6,1
0,0,0,10,7,0,6,0,0,1,1,2,7,14,4,TRUE,16,10
1,0,0,0,8,1,16,1,1,2,2,0,1,15,6,TRUE,17,1
1,0,0,0,8,0,17,1,1,2,2,0,1,15,5,TRUE,18,1
2,1,1,0,0,1,18,2,2,3,0,0,0,18,6,TRUE,19,1
2,1,1,0,0,0,19,2,2,3,0,0,0,18,3,TRUE,23,4
2,1,0,0,0,0,23,2,0,1,1,0,0,18,2,TRUE,25,2
2,0,0,0,0,0,25,2,0,0,1,0,0,18,1,TRUE,27,2
0,1,0,0,0,0,27,0,1,1,0,0,0,18,2,TRUE,27,0
4,4,4,4,4,4,0,0,5,1,6,6,5,1,3,TRUE,1,1
4,4,0,5,5,5,1,0,5,1,6,6,5,1,5,TRUE,2,1
4,4,0,5,0,6,2,0,7,2,6,6,5,1,1,TRUE,10,8
0,5,1,6,0,6,10,0,0,0,7,7,5,1,2,TRUE,11,1
0,0,2,7,1,7,11,0,0,0,7,7,5,1,4,TRUE,12,1
0,0,2,0,2,8,12,0,2,1,8,7,5,1,5,TRUE,13,1
0,0,2,0,0,9,13,0,2,1,8,7,5,1,6,TRUE,23,10
1,0,2,0,0,0,23,0,4,2,9,0,6,1,3,TRUE,28,5
1,0,0,1,0,0,28,0,0,0,10,1,6,1,1,TRUE,30,2
1,1,1,2,1,0,30,0,0,0,0,1,7,4,5,TRUE,30,0
1,1,1,2,0,1,30,0,0,0,0,0,8,4,6,TRUE,31,1
1,1,1,2,0,0,31,0,0,0,0,0,8,4,1,TRUE,31,0
